step,wall_time,defend_reward_mean,defend_reward_std,attack_reward_mean,attack_reward_std,defend_kl_mean,attack_kl_mean,defend_loss_approx,attack_loss_approx,defend_grad_norm,attack_grad_norm,lr
270,1774882163.28,-2.9517860412597656,5.360233306884766,2.7996952533721924,5.496457576751709,0.15598905086517334,0.15749885141849518,0.015598905272781849,0.015749884769320488,0.5234375,0.484375,4.567701435686404e-05
280,1774882458.89,-1.6242094039916992,1.9133082628250122,1.5709710121154785,1.9392480850219727,0.24545159935951233,0.2397131621837616,0.024545161053538322,0.02397131733596325,0.5234375,0.53515625,4.5174007803595055e-05
290,1774882753.28,-3.024585247039795,5.334141731262207,3.024247884750366,5.29691219329834,0.24924509227275848,0.1740511953830719,0.02492450922727585,0.01740512065589428,0.625,0.6015625,4.464642232938505e-05
300,1774883047.89,-9.96390151977539,4.851947784423828,9.813077926635742,4.7745280265808105,0.19652171432971954,0.20694603025913239,0.019652171060442924,0.020694604143500328,0.482421875,0.52734375,4.4094900715866064e-05
310,1774883344.56,0.44632816314697266,1.0246832370758057,-0.47689104080200195,1.0550918579101562,0.21969261765480042,0.17702683806419373,0.0219692625105381,0.017702683806419373,0.58203125,0.765625,4.352011490716875e-05
320,1774883640.89,-2.046912670135498,7.694977283477783,2.051764488220215,7.500868797302246,0.19072125852108002,0.20918111503124237,0.01907212659716606,0.020918112248182297,0.58203125,0.74609375,4.292276519126207e-05
330,1774883936.38,-2.2921228408813477,2.943707227706909,2.31313157081604,2.9322164058685303,0.16860072314739227,0.14472851157188416,0.016860073432326317,0.014472851529717445,0.546875,0.57421875,4.230357934676017e-05
340,1774884230.95,0.7077780961990356,3.747878313064575,-0.6311368942260742,3.784984588623047,0.22707146406173706,0.2560824453830719,0.022707147523760796,0.02560824528336525,0.703125,0.625,4.166331175623631e-05
350,1774884525.91,-10.734241485595703,7.81919527053833,11.027828216552734,8.156436920166016,0.18845373392105103,0.21408496797084808,0.018845373764634132,0.02140849642455578,0.6875,0.703125,4.100274248712389e-05
360,1774884819.65,-4.870628356933594,6.33905553817749,4.928465843200684,6.434399604797363,0.2017320841550827,0.23904313147068024,0.0201732087880373,0.023904314264655113,0.59375,0.65625,4.0322676341324415e-05
370,1774885113.97,-1.6599445343017578,1.4321436882019043,1.5616400241851807,1.2799285650253296,0.17991787195205688,0.20800766348838806,0.01799178682267666,0.020800767466425896,0.5078125,0.54296875,3.962394187468039e-05
380,1774885407.32,-0.7351760864257812,1.9872982501983643,0.7662467956542969,2.0409696102142334,0.1710125356912613,0.16907107830047607,0.01710125431418419,0.016907108947634697,0.447265625,0.5546875,3.8907390387507625e-05
390,1774885702.2,-1.8903124332427979,4.01692008972168,1.7648266553878784,4.134790420532227,0.21121424436569214,0.22253885865211487,0.021121425554156303,0.022253885865211487,0.640625,0.6640625,3.8173894887416945e-05
400,1774885997.96,-0.9876556396484375,1.6655259132385254,0.9765806198120117,1.6892669200897217,0.1628471314907074,0.20274755358695984,0.01628471352159977,0.020274756476283073,0.51171875,0.54296875,3.742434902568889e-05
410,1774886292.77,-1.7060966491699219,2.528276205062866,1.640777587890625,2.5815505981445312,0.1580125391483307,0.17234674096107483,0.01580125465989113,0.017234673723578453,0.52734375,0.5234375,3.665966600849728e-05
420,1774886589.54,-5.414510726928711,6.911077499389648,5.463615417480469,6.743771076202393,0.26558083295822144,0.21985572576522827,0.026558084413409233,0.021985573694109917,0.52734375,0.640625,3.588077748430819e-05
430,1774886883.8,-8.573256492614746,5.933736801147461,8.372002601623535,5.932270050048828,0.15749488770961761,0.19893214106559753,0.01574948988854885,0.019893214106559753,0.53515625,0.53515625,3.5088632408809755e-05
440,1774887178.34,-0.1250772476196289,1.6020978689193726,0.059166669845581055,1.5509543418884277,0.2472093105316162,0.27303996682167053,0.02472093142569065,0.027303997427225113,0.62890625,0.72265625,3.428419588875588e-05
